tm,actual,arimax_oneshot,ci_low,ci_high,sarima_oneshot,naive,snaive,arimax_rolling
2025-01-01,64403,68077.439074167,64213.17216333742,71941.70598499659,72566.95540727899,74743,69280,68077.439074167
2025-01-02,77832,76608.11755762309,71858.10161967755,81358.13349556863,76550.98027625965,64403,80251,73981.54831186013
2025-01-03,80523,77383.40014137224,72221.78831367863,82545.01196906586,76693.94630386369,77832,81190,78215.20860191435
2025-01-04,68094,66091.3099863128,60722.50883577729,71460.11113684831,66691.9699858827,80523,68926,68349.0183678768
2025-01-05,67984,66011.32488214651,60534.89660317919,71487.75316111383,65676.09243887526,68094,66449,67479.77249420715
2025-01-06,83402,79056.0994985915,73522.92427050023,84589.27472668278,77414.64848691133,67984,79015,80490.30980403927
2025-01-07,84067,78599.97417999689,73036.64373708167,84163.30462291211,76888.79873251685,83402,74743,81730.15627791517
2025-01-08,85705,78038.29094504172,72272.97300049227,83803.60888959117,75658.87510747854,84067,64403,80962.11426821473
2025-01-09,90705,81666.18888461153,75798.95234975466,87533.4254194684,77746.93547022656,85705,77832,88297.12378187502
2025-01-10,89452,81310.1784264619,75389.08539502208,87231.27145790173,77185.58419401529,90705,80523,88513.38253863236
2025-01-11,72458,69710.46806394344,63760.71171355936,75660.22441432752,67116.48764250605,89452,68094,75567.02817072542
2025-01-12,70172,68269.33974187255,62304.26115443904,74234.41832930606,66060.30095048793,72458,67984,70474.1562260695
2025-01-13,85286,80921.63464277235,74948.33886225325,86894.93042329144,77530.37646824415,70172,83402,83138.11774837087
2025-01-14,83831,78747.01907932192,72769.3034207571,84724.73473788674,77422.96536490633,85286,84067,82550.36846800249
2025-01-15,83464,78495.82961367574,72419.12626511959,84572.5329622319,76260.78955757868,83831,85705,82642.40287068153
2025-01-16,85908,80170.87490816078,74043.74675543785,86298.00306088371,78047.19767943707,83464,90705,85383.87909947085
2025-01-17,82514,78967.02030612051,72813.02067474846,85121.01993749256,77363.11614060329,85908,89452,83945.96418520878
2025-01-18,68811,67236.36527606643,61067.98409835536,73404.7464537775,67268.45900357133,82514,72458,68905.69949588283
2025-01-19,66566,65804.57307315824,59628.46892583483,71980.67722048165,66196.31304595934,68811,70172,67011.37541560856
2025-01-20,82082,78875.03427002,72694.76924602437,85055.29929401563,77622.71224070304,66566,85286,80743.06315270116
2025-01-21,81666,78377.99788222983,72195.48275421384,84560.51301024582,77568.80430406878,82082,83831,81602.50858459916
2025-01-22,80777,76500.58180789405,70231.77445827534,82769.38915751276,76413.27705021096,81666,83464,79388.46492628245
2025-01-23,80756,77816.6311421874,71503.82826626531,84129.43401810949,78156.34295943212,80777,85908,82549.7457039067
2025-01-24,79724,77073.55731135962,70737.26773177246,83409.84689094678,77454.22942136008,80756,82514,79595.54557420571
2025-01-25,65421,65494.73812246516,59145.858531433485,71843.61771349683,67355.34497052884,79724,68811,66598.70234945502
2025-01-26,64019,64603.97222760827,58248.320024953755,70959.62443026279,66280.55012346235,65421,66566,64508.56043628835
2025-01-27,64099,73760.07206254303,67400.76330554743,80119.38081953862,77700.63798510021,64019,82082,74924.93198786862
2025-01-28,61947,73879.5145403661,67518.22305739275,80240.80602333945,77653.93030419332,64099,81666,67847.4374794526
2025-01-29,59700,72557.90394317792,66113.7143548544,79002.09353150145,76499.20437986244,61947,80777,64760.15791905205
2025-01-30,63215,73879.127812975,67392.63402545905,80365.62160049095,78236.2161372364,59700,80756,65648.83115034246
2025-01-31,71507,79383.40671092835,72874.30719752153,85892.50622433517,77531.56742490736,63215,79724,72071.88676860559
2025-02-01,66483,66104.15747489283,59582.92772427292,72625.38722551274,67432.0695971608,71507,65421,59199.26408626893
2025-02-02,65573,64839.06420550032,58311.301081950674,71366.82732904996,66356.89006021684,66483,64019,64820.83979155376
2025-02-03,82182,78655.72323609919,72124.42713349606,85187.01933870232,77776.09486095753,65573,64099,77649.22554581954
2025-02-04,86322,79778.20658632932,73244.9908023496,86311.42237030905,77730.37282045305,82182,61947,81516.13148436032
2025-02-05,86996,78615.48122857204,72001.55076133361,85229.41169581047,76575.75247360258,86322,59700,82688.56203521194
2025-02-06,86315,79899.6554791266,73244.49654074096,86554.81441751223,78311.92572738936,86996,63215,86457.24919028801
2025-02-07,90638,80605.2003348958,73927.99176050564,87282.40890928595,77606.92519488136,86315,71507,85592.58439538858
2025-02-08,73299,69373.46420493154,62684.41264825513,76062.51576160797,67507.34144204152,90638,66483,77578.8687634643
2025-02-09,70270,67884.50518155195,61189.06757291958,74579.94279018433,66432.10800180276,73299,65573,70849.7473335623
2025-02-10,84699,80622.82925478286,73923.93317328043,87321.7253362853,77851.1904353553,70270,82182,82581.77066454536
2025-02-11,83362,78101.88614691964,71401.10720033522,84802.66509350407,77805.60405283551,84699,86322,81862.15425819985
2025-02-12,89324,77607.23323436627,70827.65505886494,84386.8114098676,76650.99805874842,83362,86996,82198.88910758635
2025-02-13,81305,77674.00071285474,70854.1363510608,84493.86507464868,78387.0554831101,89324,86315,86672.33775649237
2025-02-14,78786,76581.07285107292,69739.64524636278,83422.50045578307,77682.00632092841,81305,90638,81065.19494979289
2025-02-15,66243,65769.08991532339,58916.069948974,72622.10988167278,67582.41065692484,78786,73299,66833.57852987376
2025-02-16,64423,63563.44368563122,56704.16570038283,70422.7216708796,66507.16974388053,66243,70270,63776.880884165155
2025-02-17,78114,76600.95838326479,69738.2862909889,83463.63047554069,77926.23527115659,64423,84699,77858.71651348381
2025-02-18,79075,76659.36709657536,69794.843645979,83523.89054717172,77880.66759163643,78114,83362,78802.11808601356
2025-02-19,79643,75907.54099224035,68965.98754542504,82849.09443905565,76726.06356866348,79075,89324,80273.24605312028
2025-02-20,79895,77659.21317875833,70678.24429430946,84640.1820632072,78462.10500555903,79643,81305,79419.6028445827
2025-02-21,80061,77489.72604175622,70487.64328252301,84491.80880098943,77757.0491299392,79895,78786,80026.27799011585
2025-02-22,67988,66301.30321366976,59287.859435433136,73314.74699190637,67657.45182009914,80061,66243,67609.13692894512
2025-02-23,68283,66068.58258724015,59048.998789703546,73088.16638477675,66582.20987446756,67988,64423,67358.74012742109
2025-02-24,78296,78513.57806850458,71490.65933550114,85536.49680150801,78001.27306812348,68283,78114,80725.97147139406
2025-02-25,77625,77078.12374307238,70053.38249701724,84102.86498912753,77955.70796853307,78296,79075,78001.8336470807
2025-02-26,75917,74325.92527134763,67225.80339105614,81426.04715163913,76801.10421712909,77625,79643,76843.15045611776
2025-02-27,75932,75069.69366960996,67930.96860704348,82208.41873217643,78537.14344789796,75917,79895,75640.659081484
2025-02-28,73438,74322.51935849653,67163.09956018961,81481.93915680345,77832.08664582894,75932,80061,75947.12330702707
2025-03-01,63248,59752.528244650974,52581.963063196454,66923.0934261055,67732.48910880146,73438,67988,58716.08170667677
2025-03-02,61922,64061.999110514414,56885.40375856029,71238.59446246854,66657.24702063287,63248,68283,66838.98297173415
2025-03-03,67656,72628.30487394797,65448.42955619365,79808.18019170228,78076.30989226523,61922,78296,71047.02631450449
2025-03-04,85127,78233.8487439888,71052.17761873717,85415.51986924042,78030.7451486145,67656,77625,75586.04644225129
2025-03-05,80532,76067.64492232568,68812.13649825919,83323.15334639217,76876.1414346633,85127,75917,82812.07399860439
2025-03-06,75167,77190.38955485816,69897.03841176417,84483.74069795216,78612.18036103052,80532,75932,79964.10338917868
2025-03-07,74255,76710.8716130907,69397.21809738739,84024.525128794,77907.12343112755,75167,73438,75604.18981366736
2025-03-08,63786,65367.65838849167,58043.06121530605,72692.25556167729,67807.52586274942,74255,63248,64438.31685202993
2025-03-09,62382,64256.29983698309,56925.775127989946,71586.82454597623,66732.28375491145,63786,61922,61958.2579063439
2025-03-10,72266,76728.5953175316,69394.84189738624,84062.34873767695,78151.34658211074,62382,67656,74425.03203817423
2025-03-11,71531,75039.38795334396,67703.8635426829,82374.91236400502,78105.78188756974,72266,85127,75462.33852396625
2025-03-12,71900,74402.2057823723,66994.29230045543,81810.11926428917,76951.17817878534,71531,80532,73114.89228705416
2025-03-13,71956,74872.36231147569,67427.32004931857,82317.40457363281,78687.21706315222,71900,75167,71179.45571055342
2025-03-14,68297,73114.95171691215,65649.97537903833,80579.92805478598,77982.16011561103,71956,74255,71013.32872973625
2025-03-15,61990,62887.06261706932,55411.33184402191,70362.79339011673,67882.5625429071,68297,63786,59877.47532669364
2025-03-16,64455,64206.874758344726,56725.31260157315,71688.4369151163,66807.32043235512,61990,62382,62697.19865042958
2025-03-17,74273,76927.96702267865,69443.2240731877,84412.70997216961,78226.38325342367,64455,72266,75691.08983374826
2025-03-18,79892,77891.26390309635,70404.77308585081,85377.75472034188,78180.81856565853,74273,71531,78113.97760020196
2025-03-19,74254,75651.51870024811,68094.00125103975,83209.03614945647,77026.21485758701,79892,71900,78080.63270556818
2025-03-20,71832,75901.65743054137,68307.6831177222,83495.63174336053,78762.25373615886,74254,71956,73486.26461131478
2025-03-21,68159,73995.51627907928,66381.95443855936,81609.0781195992,78057.19678618402,71832,68297,70381.60377077764
2025-03-22,60131,61712.72571463126,54088.58736108764,69336.86406817488,67957.59921288323,68159,61990,58572.989785044614
2025-03-23,59671,60063.699516578956,52433.820074176474,67693.57895898144,66882.35710195678,60131,64455,58541.60563791253
2025-03-24,68066,72899.07326080253,65266.05793151414,80532.08859009092,78301.41992217944,59671,74273,70897.21984491698
2025-03-25,68612,72246.80697254628,64612.06536988174,79881.54857521082,78255.85523534921,68066,79892,71549.62255647789
2025-03-26,67221,69378.20095247336,61673.7174497906,77082.68445515612,77101.25152737604,68612,74254,66732.11441762897
2025-03-27,69183,72520.12524540215,64779.81868478391,80260.43180602038,78837.2904051483,67221,71832,69007.13462223481
2025-03-28,67840,73734.72375431372,65975.15647998126,81494.29102864617,78132.23345483768,69183,68159,70127.25392118993
2025-03-29,62150,63857.25895202174,56087.28283310949,71627.23507093398,68032.63588145454,67840,60131,61032.73290525686
2025-03-30,61624,63239.66355538087,55464.031329156816,71015.29578160492,66957.39377047641,62150,59671,61868.81352128657
2025-03-31,69168,75471.91393062718,67693.1879921132,83250.63986914116,78376.45659058235,61624,68066,71862.18944864621
2025-04-01,69182,74092.1652033387,66311.73320154489,81872.59720513252,78330.89190388111,69168,68612,71432.53764825272
2025-04-02,69045,73667.17384969635,65818.21402664462,81516.13367274808,77176.28819592152,69182,67221,70396.18641391405
2025-04-03,68704,75287.89740269925,67403.71363683257,83172.08116856593,78912.32707358347,69045,69183,70115.70306161867
2025-04-04,66311,74444.54652867875,66541.41089251758,82347.68216483992,78207.27012322651,68704,67840,67943.63877357022
2025-04-05,60778,64706.545194615275,56793.15904478655,72619.93134444399,68107.672549832,66311,62150,60484.49422739255
2025-04-06,58920,61534.04463377227,53615.082521042175,69453.00674650236,67032.43043884674,60778,61624,58425.00141954516
2025-04-07,67482,73081.05246883768,65159.03633344391,81003.06860423145,78451.49325893658,58920,69168,68095.56656825454
2025-04-08,67166,72018.30588211976,64094.602635323536,79942.00912891599,78405.92857225313,67482,69182,69336.22557492764
2025-04-09,67503,71543.94650946872,63552.86505709628,79535.02796184116,77251.32486429541,67166,69045,67928.74583376049
2025-04-10,67051,72606.62417181015,64580.88620764291,80632.3621359774,78987.36374194214,67503,68704,67447.63506290803
2025-04-11,64924,71344.63524634641,63300.23783595902,79389.0326567338,78282.3067915788,67051,66311,65227.82091288338
2025-04-12,58924,61780.25232379936,53725.754199257324,69834.7504483414,68182.70921818272,64924,60778,58823.51655032916
2025-04-13,59804,62598.787726731374,54538.78936553878,70658.78608792396,67107.46710719647,58924,58920,60421.641590134146
2025-04-14,71667,77057.94179226071,68994.92682968779,85120.95675483363,78526.52992728408,59804,67482,71904.60560537815
2025-04-15,68752,74103.00252010598,66038.31825062328,82167.68678958867,78480.96524060311,71667,67166,71058.30213034089
2025-04-16,67535,70604.78640116965,62473.81453628662,78735.75826605268,77326.36153264563,68752,67503,66571.22020794974
2025-04-17,67939,72805.86507092898,64640.77509594474,80970.95504591322,79062.40041029027,67535,67051,68282.24428890557
2025-04-18,66383,71833.71612821333,63650.24408246029,80017.18817396638,78357.34345992604,67939,64924,66209.52521492908
2025-04-19,60286,60615.332455365955,52421.901676078036,68808.76323465387,68257.74588652974,66383,58924,58371.23068901366
