tm,actual,pred,ci_low,ci_high,rolling
2025-01-01,64403,68647.03138177523,65092.70478103887,72395.43868060515,68647.03138177523
2025-01-02,77832,77713.34029523416,72803.91485676437,82953.82565243653,74281.79667814267
2025-01-03,80523,77987.82474505759,72679.79520630173,83683.51604736588,78119.42741327867
2025-01-04,68094,67905.53687354599,63126.45630629805,73046.42471471133,69476.36757028925
2025-01-05,67984,67820.29442355523,62968.98460262211,73045.36296280348,67950.70530897885
2025-01-06,83402,80103.23224374102,74325.47363000887,86330.13020322069,80255.45516780241
2025-01-07,84067,81071.53840006751,75197.8788780851,87403.98581201296,83449.82876857255
2025-01-08,85705,81706.2865280181,75695.64255777404,88194.2081818416,83039.1206141189
2025-01-09,90705,86690.01480547033,80261.17625838167,93633.79677840014,90342.4932250767
2025-01-10,89452,84933.31444371615,78607.11025411938,91768.64381701569,88136.42928056716
2025-01-11,72458,73524.94662188753,68034.7463246863,79458.18964257505,76079.87343133155
2025-01-12,70172,71652.51749853247,66293.99963695424,77444.16224685911,70943.51371731506
2025-01-13,85286,83551.47528169448,77296.9614903204,90312.07549628957,82872.39522611756
2025-01-14,83831,82057.02336259617,75910.2155848376,88701.5671244462,83430.01581196324
2025-01-15,83464,83194.8666289977,76951.31147141181,89945.00159998024,84692.16821767767
2025-01-16,85908,83673.89178764673,77386.9327086639,90471.6070508759,84141.96011753862
2025-01-17,82514,80620.11748104596,74557.74155061039,87175.43218829489,82504.69595051755
2025-01-18,68811,69776.0288577208,64526.041782515305,75453.1669486778,70400.12055837363
2025-01-19,66566,67926.77090873895,62813.62769308477,73456.13325555898,67196.1857179956
2025-01-20,82082,79773.55372522576,73766.44602671395,86269.84512235918,79186.89121728389
2025-01-21,81666,80824.72874784833,74736.5456423483,87408.86698758049,82650.22688873355
2025-01-22,80777,79361.50089986184,73377.87892959252,85833.05918561724,79784.26243772189
2025-01-23,80756,79579.73244924772,73575.5882915594,86073.84546621921,81036.89444387957
2025-01-24,79724,77456.13242290914,71609.22011530802,83780.44671139664,78456.4124394232
2025-01-25,65421,67295.71668453355,62213.69803080133,72792.86760679119,68328.49315791021
2025-01-26,64019,66245.80001333164,61241.33620904225,71659.2140384809,64858.15825618343
2025-01-27,64099,73558.22073675017,67999.65219082397,79571.16931675439,72442.19982294054
2025-01-28,61947,75611.83657537404,69896.49252895071,81794.51676967999,68539.23711685652
2025-01-29,59700,75271.7943003748,69577.29157658006,81432.35944966097,65448.381289225705
2025-01-30,63215,75561.14148370898,69841.15950212597,81749.58925398841,64290.41589997042
2025-01-31,71507,80950.90109221028,74819.94037945381,87584.25032694003,71659.91824922209
2025-02-01,66483,70211.39771032418,64891.700248576446,75967.19379448621,63696.45117049217
2025-02-02,65573,68730.17631966657,63520.928828569624,74366.62567830447,65922.5945502324
2025-02-03,82182,82165.68906599261,75936.2274665295,88906.18726964167,78207.05567804228
2025-02-04,86322,86387.7749443079,79836.37104291668,93476.7896178131,84986.42182823579
2025-02-05,86996,86029.81294303827,79499.98257469744,93095.97908477683,84614.72915553079
2025-02-06,86315,85987.43189499035,79456.693282718,93054.94777623448,86503.48706571206
2025-02-07,90638,86381.83344919373,79817.91482948455,93485.5435146981,86642.2671102079
2025-02-08,73299,75786.25019119671,70025.13061002086,82021.34959275235,78485.54182681158
2025-02-09,70270,73597.84705717064,68001.13105292662,79655.19113549452,71625.85510580876
2025-02-10,84699,85860.72775707676,79329.4403190519,92929.74387976821,83431.84609290102
2025-02-11,83362,83645.69651015208,77281.06057243237,90534.50473950006,82594.10242796937
2025-02-12,89324,83993.9994896685,77597.32660045094,90917.97693748685,83633.65767592448
2025-02-13,81305,82384.42974489348,76106.29961360471,89180.45285147481,86036.47079839381
2025-02-14,78786,79454.85415674088,73396.93187435303,86012.77584567445,79258.56044343948
2025-02-15,66243,69787.56145406164,64464.50091523303,75550.16582085368,68447.67364998245
