tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day,ta_avg_src,ta_max_src,ta_min_src,hm_avg_src,ws_avg_src
2010-01-01,101,-10.3,-5.0,-17.7,66.5,0.4,0.1,5.1,7.87,raw,raw,raw,raw,raw
2010-01-02,101,-6.1,-0.6,-12.6,88.1,0.4,7.1,1.8,3.14,raw,raw,raw,raw,raw
2010-01-03,101,-10.5,-3.6,-17.8,77.9,0.3,,6.6,9.21,raw,raw,raw,raw,raw
2010-01-04,101,-6.9,-3.3,-11.3,88.0,1.1,13.7,0.0,2.9,raw,raw,raw,raw,raw
2010-01-05,101,-10.2,-4.9,-16.7,69.9,1.4,,7.1,9.55,raw,raw,raw,raw,raw
2010-01-06,101,-14.3,-6.6,-19.9,74.8,0.5,,6.3,9.74,raw,raw,raw,raw,raw
2010-01-07,101,-15.0,-8.5,-19.7,76.6,0.3,,4.2,7.39,raw,raw,raw,raw,raw
2010-01-08,101,-11.9,-4.9,-16.1,79.0,0.5,,6.0,9.3,raw,raw,raw,raw,raw
2010-01-09,101,-9.9,-5.2,-14.7,85.9,0.2,0.6,0.0,4.01,raw,raw,raw,raw,raw
2010-01-10,101,-6.0,-1.4,-9.9,81.4,0.4,,2.7,6.44,raw,raw,raw,raw,raw
2010-01-11,101,-7.9,-2.4,-11.4,85.3,0.5,,2.8,5.64,raw,raw,raw,raw,raw
2010-01-12,101,-10.4,-4.6,-15.2,58.0,1.1,,7.8,11.74,raw,raw,raw,raw,raw
2010-01-13,101,-13.8,-8.6,-20.2,56.3,1.5,,8.1,11.13,raw,raw,raw,raw,raw
2010-01-14,101,-13.6,-6.2,-21.3,65.8,0.3,,6.9,11.0,raw,raw,raw,raw,raw
2010-01-15,101,-7.4,1.0,-14.0,67.8,0.4,0.3,7.7,10.09,raw,raw,raw,raw,raw
2010-01-16,101,-9.5,-1.1,-16.0,71.8,0.4,,6.9,10.14,raw,raw,raw,raw,raw
2010-01-17,101,-8.7,0.6,-15.0,73.9,0.3,,6.5,9.46,raw,raw,raw,raw,raw
2010-01-18,101,-6.2,0.0,-12.2,84.5,0.2,,0.3,5.12,raw,raw,raw,raw,raw
2010-01-19,101,-0.1,4.9,-5.0,79.9,0.2,4.0,3.9,7.89,raw,raw,raw,raw,raw
2010-01-20,101,1.9,3.3,1.0,95.0,0.2,8.5,0.0,1.85,raw,raw,raw,raw,raw
2010-01-21,101,-0.4,3.1,-5.6,63.8,2.0,3.0,4.4,8.53,raw,raw,raw,raw,raw
2010-01-22,101,-5.7,-1.9,-8.4,42.4,1.9,,7.4,11.16,raw,raw,raw,raw,raw
2010-01-23,101,-6.8,0.1,-13.1,56.9,1.0,,8.6,12.76,raw,raw,raw,raw,raw
2010-01-24,101,-1.8,3.5,-10.2,66.8,1.2,0.2,3.0,8.02,raw,raw,raw,raw,raw
2010-01-25,101,-0.3,3.1,-6.2,43.6,2.2,,8.2,11.55,raw,raw,raw,raw,raw
2010-01-26,101,-5.7,1.9,-12.6,61.4,0.8,,8.5,12.18,raw,raw,raw,raw,raw
2010-01-27,101,-2.7,2.7,-9.2,79.5,0.3,2.8,4.5,8.05,raw,raw,raw,raw,raw
2010-01-28,101,1.0,4.2,-2.8,57.6,1.9,0.3,7.4,10.7,raw,raw,raw,raw,raw
2010-01-29,101,-2.4,1.4,-11.0,53.0,2.3,0.0,5.6,9.56,raw,raw,raw,raw,raw
2010-01-30,101,0.5,5.3,-4.8,64.0,1.1,,3.8,8.82,raw,raw,raw,raw,raw
2010-01-31,101,-1.0,4.7,-5.3,85.8,0.3,,1.6,6.37,raw,raw,raw,raw,raw
2010-02-01,101,0.5,7.5,-3.6,75.8,0.8,,3.0,8.88,raw,raw,raw,raw,raw
2010-02-02,101,-4.2,-0.8,-7.8,33.3,1.8,,9.0,13.55,raw,raw,raw,raw,raw
2010-02-03,101,-8.1,-2.8,-13.2,45.1,1.2,,9.1,13.67,raw,raw,raw,raw,raw
2010-02-04,101,-5.5,-0.2,-12.9,52.1,1.4,,7.3,12.45,raw,raw,raw,raw,raw
2010-02-05,101,-5.1,1.4,-11.6,42.3,1.2,,9.1,13.91,raw,raw,raw,raw,raw
2010-02-06,101,-5.6,3.6,-13.3,53.3,0.3,,9.1,15.06,raw,raw,raw,raw,raw
2010-02-07,101,-2.3,5.9,-11.2,53.8,0.4,,5.8,11.64,raw,raw,raw,raw,raw
2010-02-08,101,1.9,3.6,0.1,59.9,0.2,0.0,0.0,2.31,raw,raw,raw,raw,raw
2010-02-09,101,0.9,2.4,-1.7,88.3,0.5,5.5,0.0,2.12,raw,raw,raw,raw,raw
2010-02-10,101,2.7,4.4,1.7,87.5,1.1,3.0,0.0,1.78,raw,raw,raw,raw,raw
2010-02-11,101,0.7,3.2,-1.6,73.0,1.9,3.6,0.0,4.48,raw,raw,raw,raw,raw
2010-02-12,101,-0.4,3.1,-2.1,74.9,1.5,1.0,1.2,8.48,raw,raw,raw,raw,raw
2010-02-13,101,-1.8,1.4,-5.6,76.0,1.2,5.0,5.4,11.85,raw,raw,raw,raw,raw
2010-02-14,101,-3.4,0.6,-7.8,71.3,0.4,,1.0,8.24,raw,raw,raw,raw,raw
2010-02-15,101,-3.3,1.9,-7.6,66.5,0.5,,3.3,10.55,raw,raw,raw,raw,raw
2010-02-16,101,-3.1,2.6,-6.3,59.5,0.8,0.0,7.3,13.74,raw,raw,raw,raw,raw
2010-02-17,101,-4.6,-0.1,-10.8,63.6,0.7,0.5,1.5,9.36,raw,raw,raw,raw,raw
2010-02-18,101,-2.6,1.1,-6.6,59.6,1.6,1.5,6.8,12.67,raw,raw,raw,raw,raw
2010-02-19,101,-2.0,3.7,-6.9,58.8,1.0,1.2,7.7,14.5,raw,raw,raw,raw,raw
2010-02-20,101,0.2,8.9,-6.7,63.5,0.5,,9.0,15.34,raw,raw,raw,raw,raw
2010-02-21,101,1.5,9.9,-5.0,68.3,0.5,,7.9,13.03,raw,raw,raw,raw,raw
2010-02-22,101,3.6,11.7,-1.2,73.6,0.8,0.2,6.0,12.16,raw,raw,raw,raw,raw
2010-02-23,101,3.6,15.4,-3.7,62.8,0.3,,9.5,15.51,raw,raw,raw,raw,raw
2010-02-24,101,6.6,17.8,-2.5,62.4,0.4,,7.2,13.24,raw,raw,raw,raw,raw
2010-02-25,101,6.4,7.5,5.0,91.3,0.4,13.5,0.0,1.39,raw,raw,raw,raw,raw
2010-02-26,101,8.6,14.1,5.0,71.3,1.8,,6.4,12.29,raw,raw,raw,raw,raw
2010-02-27,101,5.5,11.4,0.0,74.3,1.5,0.0,2.8,10.15,raw,raw,raw,raw,raw
2010-02-28,101,6.2,10.7,2.4,72.5,1.2,0.4,0.3,7.03,raw,raw,raw,raw,raw
2010-03-01,101,1.8,4.8,0.6,80.8,2.1,15.5,0.0,4.06,raw,raw,raw,raw,raw
2010-03-02,101,1.4,4.4,-1.5,85.9,1.0,0.0,0.0,4.39,raw,raw,raw,raw,raw
2010-03-03,101,2.0,8.3,-3.8,72.9,1.1,,7.3,16.12,raw,raw,raw,raw,raw
2010-03-04,101,3.4,4.8,1.3,85.5,2.0,2.0,0.0,4.64,raw,raw,raw,raw,raw
2010-03-05,101,5.7,9.4,3.2,82.6,0.4,0.4,0.6,7.33,raw,raw,raw,raw,raw
2010-03-06,101,4.7,8.7,1.8,66.6,2.0,,3.1,12.71,raw,raw,raw,raw,raw
2010-03-07,101,3.5,7.2,0.2,57.1,2.2,,2.9,12.73,raw,raw,raw,raw,raw
2010-03-08,101,2.5,7.1,-1.5,59.3,1.9,,4.0,12.14,raw,raw,raw,raw,raw
2010-03-09,101,2.1,5.8,-1.0,72.9,1.0,1.8,2.4,10.03,raw,raw,raw,raw,raw
2010-03-10,101,1.0,3.3,-2.2,74.5,1.8,4.2,4.6,13.49,raw,raw,raw,raw,raw
2010-03-11,101,2.4,5.8,-2.2,59.8,1.9,,6.3,14.23,raw,raw,raw,raw,raw
2010-03-12,101,6.5,10.3,3.5,59.0,2.8,0.2,1.6,4.36,raw,raw,raw,raw,raw
2010-03-13,101,3.0,10.5,-3.0,41.8,1.0,,10.2,19.61,raw,raw,raw,raw,raw
2010-03-14,101,5.2,13.5,-2.8,61.0,1.0,6.5,4.3,11.79,raw,raw,raw,raw,raw
2010-03-15,101,7.3,12.5,4.3,75.3,1.4,16.0,0.2,4.26,raw,raw,raw,raw,raw
2010-03-16,101,2.0,5.7,-0.6,34.5,3.4,,10.1,19.7,raw,raw,raw,raw,raw
2010-03-17,101,-0.1,4.2,-5.6,57.6,1.0,0.2,4.1,11.39,raw,raw,raw,raw,raw
2010-03-18,101,2.4,7.7,-3.1,48.4,1.3,0.0,11.1,21.79,raw,raw,raw,raw,raw
2010-03-19,101,4.0,9.5,-3.0,51.8,1.3,,4.9,13.48,raw,raw,raw,raw,raw
2010-03-20,101,6.5,10.7,3.4,73.1,2.2,1.5,0.0,1.98,raw,raw,raw,raw,raw
2010-03-21,101,3.8,8.2,-0.3,39.0,3.3,0.5,10.6,20.4,raw,raw,raw,raw,raw
2010-03-22,101,1.8,5.7,-1.6,77.3,0.6,3.0,0.0,4.98,raw,raw,raw,raw,raw
2010-03-23,101,5.4,11.7,1.3,76.9,0.6,,4.3,14.13,raw,raw,raw,raw,raw
2010-03-24,101,7.0,14.8,-0.1,57.4,0.8,,8.6,18.39,raw,raw,raw,raw,raw
2010-03-25,101,4.4,8.0,0.5,60.0,1.7,1.5,1.8,11.46,raw,raw,raw,raw,raw
2010-03-26,101,1.3,5.8,-4.6,51.0,2.1,0.0,7.1,18.21,raw,raw,raw,raw,raw
2010-03-27,101,1.8,3.7,-1.4,93.0,0.3,5.0,0.0,3.13,raw,raw,raw,raw,raw
2010-03-28,101,5.4,10.3,1.3,59.6,1.2,,7.8,20.13,raw,raw,raw,raw,raw
2010-03-29,101,4.9,13.8,-3.4,54.3,0.7,,11.3,22.85,raw,raw,raw,raw,raw
2010-03-30,101,7.1,15.0,-1.0,58.3,0.9,,6.0,17.39,raw,raw,raw,raw,raw
2010-03-31,101,7.0,8.3,5.4,88.6,0.2,7.5,0.0,3.61,raw,raw,raw,raw,raw
2010-04-01,101,7.5,10.9,1.6,83.9,1.0,0.3,0.0,4.77,raw,raw,raw,raw,raw
2010-04-02,101,5.3,11.7,-2.8,48.1,2.3,,10.4,22.42,raw,raw,raw,raw,raw
2010-04-03,101,5.2,12.6,-2.9,37.6,1.5,,11.4,23.37,raw,raw,raw,raw,raw
2010-04-04,101,7.0,16.9,-2.7,45.8,0.9,,9.5,19.92,raw,raw,raw,raw,raw
2010-04-05,101,9.9,18.3,-0.4,48.1,0.7,0.0,8.3,19.25,raw,raw,raw,raw,raw
2010-04-06,101,10.5,14.1,4.9,52.5,2.2,,5.9,15.16,raw,raw,raw,raw,raw
2010-04-07,101,7.0,14.7,-0.6,48.6,1.0,,12.0,24.7,raw,raw,raw,raw,raw
2010-04-08,101,8.6,18.5,-1.3,46.9,1.0,,11.3,22.32,raw,raw,raw,raw,raw
