tm,ip_total
2010-01-01,79.3
2010-01-02,79.3
2010-01-03,79.3
2010-01-04,79.3
2010-01-05,79.3
2010-01-06,79.3
2010-01-07,79.3
2010-01-08,79.3
2010-01-09,79.3
2010-01-10,79.3
2010-01-11,79.3
2010-01-12,79.3
2010-01-13,79.3
2010-01-14,79.3
2010-01-15,79.3
2010-01-16,79.3
2010-01-17,79.3
2010-01-18,79.3
2010-01-19,79.3
2010-01-20,79.3
2010-01-21,79.3
2010-01-22,79.3
2010-01-23,79.3
2010-01-24,79.3
2010-01-25,79.3
2010-01-26,79.3
2010-01-27,79.3
2010-01-28,79.3
2010-01-29,79.3
2010-01-30,79.3
2010-01-31,79.3
2010-02-01,79.3
2010-02-02,79.3
2010-02-03,79.3
2010-02-04,79.3
2010-02-05,79.3
2010-02-06,79.3
2010-02-07,79.3
2010-02-08,79.3
2010-02-09,79.3
2010-02-10,79.3
2010-02-11,79.3
2010-02-12,79.3
2010-02-13,79.3
2010-02-14,79.3
2010-02-15,79.3
2010-02-16,79.3
2010-02-17,79.3
2010-02-18,79.3
2010-02-19,79.3
2010-02-20,79.3
2010-02-21,79.3
2010-02-22,79.3
2010-02-23,79.3
2010-02-24,79.3
2010-02-25,79.3
2010-02-26,79.3
2010-02-27,79.3
2010-02-28,79.3
2010-03-01,79.3
2010-03-02,79.3
2010-03-03,79.3
2010-03-04,79.3
2010-03-05,79.3
2010-03-06,79.3
2010-03-07,79.3
2010-03-08,79.3
2010-03-09,79.3
2010-03-10,79.3
2010-03-11,79.3
2010-03-12,79.3
2010-03-13,79.3
2010-03-14,79.3
2010-03-15,79.3
2010-03-16,79.3
2010-03-17,79.3
2010-03-18,79.3
2010-03-19,79.3
2010-03-20,79.3
2010-03-21,79.3
2010-03-22,79.3
2010-03-23,79.3
2010-03-24,79.3
2010-03-25,79.3
2010-03-26,79.3
2010-03-27,79.3
2010-03-28,79.3
2010-03-29,79.3
2010-03-30,79.3
2010-03-31,79.3
2010-04-01,77.6
2010-04-02,77.6
2010-04-03,77.6
2010-04-04,77.6
2010-04-05,77.6
2010-04-06,77.6
2010-04-07,77.6
2010-04-08,77.6
2010-04-09,77.6
2010-04-10,77.6
2010-04-11,77.6
2010-04-12,77.6
2010-04-13,77.6
2010-04-14,77.6
2010-04-15,77.6
2010-04-16,77.6
2010-04-17,77.6
2010-04-18,77.6
2010-04-19,77.6
2010-04-20,77.6
2010-04-21,77.6
2010-04-22,77.6
2010-04-23,77.6
2010-04-24,77.6
2010-04-25,77.6
2010-04-26,77.6
2010-04-27,77.6
2010-04-28,77.6
2010-04-29,77.6
2010-04-30,77.6
2010-05-01,87.4
2010-05-02,87.4
2010-05-03,87.4
2010-05-04,87.4
2010-05-05,87.4
2010-05-06,87.4
2010-05-07,87.4
2010-05-08,87.4
2010-05-09,87.4
2010-05-10,87.4
2010-05-11,87.4
2010-05-12,87.4
2010-05-13,87.4
2010-05-14,87.4
2010-05-15,87.4
2010-05-16,87.4
2010-05-17,87.4
2010-05-18,87.4
2010-05-19,87.4
2010-05-20,87.4
2010-05-21,87.4
2010-05-22,87.4
2010-05-23,87.4
2010-05-24,87.4
2010-05-25,87.4
2010-05-26,87.4
2010-05-27,87.4
2010-05-28,87.4
2010-05-29,87.4
2010-05-30,87.4
2010-05-31,87.4
2010-06-01,84.1
2010-06-02,84.1
2010-06-03,84.1
2010-06-04,84.1
2010-06-05,84.1
2010-06-06,84.1
2010-06-07,84.1
2010-06-08,84.1
2010-06-09,84.1
2010-06-10,84.1
2010-06-11,84.1
2010-06-12,84.1
2010-06-13,84.1
2010-06-14,84.1
2010-06-15,84.1
2010-06-16,84.1
2010-06-17,84.1
2010-06-18,84.1
2010-06-19,84.1
2010-06-20,84.1
2010-06-21,84.1
2010-06-22,84.1
2010-06-23,84.1
2010-06-24,84.1
2010-06-25,84.1
2010-06-26,84.1
2010-06-27,84.1
2010-06-28,84.1
2010-06-29,84.1
2010-06-30,84.1
2010-07-01,84.9
2010-07-02,84.9
2010-07-03,84.9
2010-07-04,84.9
2010-07-05,84.9
2010-07-06,84.9
2010-07-07,84.9
2010-07-08,84.9
2010-07-09,84.9
2010-07-10,84.9
2010-07-11,84.9
2010-07-12,84.9
2010-07-13,84.9
2010-07-14,84.9
2010-07-15,84.9
2010-07-16,84.9
2010-07-17,84.9
2010-07-18,84.9
2010-07-19,84.9
2010-07-20,84.9
2010-07-21,84.9
2010-07-22,84.9
2010-07-23,84.9
2010-07-24,84.9
2010-07-25,84.9
2010-07-26,84.9
2010-07-27,84.9
2010-07-28,84.9
2010-07-29,84.9
2010-07-30,84.9
2010-07-31,84.9
2010-08-01,87.5
2010-08-02,87.5
2010-08-03,87.5
2010-08-04,87.5
2010-08-05,87.5
2010-08-06,87.5
2010-08-07,87.5
2010-08-08,87.5
2010-08-09,87.5
2010-08-10,87.5
2010-08-11,87.5
2010-08-12,87.5
2010-08-13,87.5
2010-08-14,87.5
2010-08-15,87.5
2010-08-16,87.5
2010-08-17,87.5
2010-08-18,87.5
2010-08-19,87.5
2010-08-20,87.5
2010-08-21,87.5
2010-08-22,87.5
2010-08-23,87.5
2010-08-24,87.5
2010-08-25,87.5
2010-08-26,87.5
2010-08-27,87.5
2010-08-28,87.5
2010-08-29,87.5
2010-08-30,87.5
2010-08-31,87.5
2010-09-01,84.7
2010-09-02,84.7
2010-09-03,84.7
2010-09-04,84.7
2010-09-05,84.7
2010-09-06,84.7
2010-09-07,84.7
2010-09-08,84.7
2010-09-09,84.7
2010-09-10,84.7
2010-09-11,84.7
2010-09-12,84.7
2010-09-13,84.7
2010-09-14,84.7
2010-09-15,84.7
2010-09-16,84.7
2010-09-17,84.7
2010-09-18,84.7
2010-09-19,84.7
2010-09-20,84.7
2010-09-21,84.7
2010-09-22,84.7
2010-09-23,84.7
2010-09-24,84.7
2010-09-25,84.7
2010-09-26,84.7
2010-09-27,84.7
2010-09-28,84.7
2010-09-29,84.7
2010-09-30,84.7
2010-10-01,81.6
2010-10-02,81.6
2010-10-03,81.6
2010-10-04,81.6
2010-10-05,81.6
2010-10-06,81.6
2010-10-07,81.6
2010-10-08,81.6
2010-10-09,81.6
2010-10-10,81.6
2010-10-11,81.6
2010-10-12,81.6
2010-10-13,81.6
2010-10-14,81.6
2010-10-15,81.6
2010-10-16,81.6
2010-10-17,81.6
2010-10-18,81.6
2010-10-19,81.6
2010-10-20,81.6
2010-10-21,81.6
2010-10-22,81.6
2010-10-23,81.6
2010-10-24,81.6
2010-10-25,81.6
2010-10-26,81.6
2010-10-27,81.6
2010-10-28,81.6
2010-10-29,81.6
2010-10-30,81.6
2010-10-31,81.6
2010-11-01,83.7
2010-11-02,83.7
2010-11-03,83.7
2010-11-04,83.7
2010-11-05,83.7
2010-11-06,83.7
2010-11-07,83.7
2010-11-08,83.7
2010-11-09,83.7
2010-11-10,83.7
2010-11-11,83.7
2010-11-12,83.7
2010-11-13,83.7
2010-11-14,83.7
2010-11-15,83.7
2010-11-16,83.7
2010-11-17,83.7
2010-11-18,83.7
2010-11-19,83.7
2010-11-20,83.7
2010-11-21,83.7
2010-11-22,83.7
2010-11-23,83.7
2010-11-24,83.7
2010-11-25,83.7
2010-11-26,83.7
2010-11-27,83.7
2010-11-28,83.7
2010-11-29,83.7
2010-11-30,83.7
2010-12-01,85.4
2010-12-02,85.4
2010-12-03,85.4
2010-12-04,85.4
2010-12-05,85.4
2010-12-06,85.4
2010-12-07,85.4
2010-12-08,85.4
2010-12-09,85.4
2010-12-10,85.4
2010-12-11,85.4
2010-12-12,85.4
2010-12-13,85.4
2010-12-14,85.4
2010-12-15,85.4
2010-12-16,85.4
2010-12-17,85.4
2010-12-18,85.4
2010-12-19,85.4
2010-12-20,85.4
2010-12-21,85.4
2010-12-22,85.4
2010-12-23,85.4
2010-12-24,85.4
2010-12-25,85.4
2010-12-26,85.4
2010-12-27,85.4
2010-12-28,85.4
2010-12-29,85.4
2010-12-30,85.4
2010-12-31,85.4
2011-01-01,86.1
2011-01-02,86.1
2011-01-03,86.1
2011-01-04,86.1
2011-01-05,86.1
2011-01-06,86.1
2011-01-07,86.1
2011-01-08,86.1
2011-01-09,86.1
2011-01-10,86.1
2011-01-11,86.1
2011-01-12,86.1
2011-01-13,86.1
2011-01-14,86.1
2011-01-15,86.1
2011-01-16,86.1
2011-01-17,86.1
2011-01-18,86.1
2011-01-19,86.1
2011-01-20,86.1
2011-01-21,86.1
2011-01-22,86.1
2011-01-23,86.1
2011-01-24,86.1
2011-01-25,86.1
2011-01-26,86.1
2011-01-27,86.1
2011-01-28,86.1
2011-01-29,86.1
2011-01-30,86.1
2011-01-31,86.1
2011-02-01,95.0
2011-02-02,95.0
2011-02-03,95.0
2011-02-04,95.0
2011-02-05,95.0
2011-02-06,95.0
2011-02-07,95.0
2011-02-08,95.0
2011-02-09,95.0
2011-02-10,95.0
2011-02-11,95.0
2011-02-12,95.0
2011-02-13,95.0
2011-02-14,95.0
2011-02-15,95.0
2011-02-16,95.0
2011-02-17,95.0
2011-02-18,95.0
2011-02-19,95.0
2011-02-20,95.0
2011-02-21,95.0
2011-02-22,95.0
2011-02-23,95.0
2011-02-24,95.0
2011-02-25,95.0
2011-02-26,95.0
2011-02-27,95.0
2011-02-28,95.0
2011-03-01,85.9
2011-03-02,85.9
2011-03-03,85.9
2011-03-04,85.9
2011-03-05,85.9
2011-03-06,85.9
2011-03-07,85.9
2011-03-08,85.9
2011-03-09,85.9
2011-03-10,85.9
2011-03-11,85.9
2011-03-12,85.9
2011-03-13,85.9
2011-03-14,85.9
2011-03-15,85.9
2011-03-16,85.9
2011-03-17,85.9
2011-03-18,85.9
2011-03-19,85.9
2011-03-20,85.9
2011-03-21,85.9
2011-03-22,85.9
2011-03-23,85.9
2011-03-24,85.9
2011-03-25,85.9
2011-03-26,85.9
2011-03-27,85.9
2011-03-28,85.9
2011-03-29,85.9
2011-03-30,85.9
2011-03-31,85.9
2011-04-01,77.3
2011-04-02,77.3
2011-04-03,77.3
2011-04-04,77.3
2011-04-05,77.3
2011-04-06,77.3
2011-04-07,77.3
2011-04-08,77.3
2011-04-09,77.3
2011-04-10,77.3
2011-04-11,77.3
2011-04-12,77.3
2011-04-13,77.3
2011-04-14,77.3
2011-04-15,77.3
2011-04-16,77.3
2011-04-17,77.3
2011-04-18,77.3
2011-04-19,77.3
2011-04-20,77.3
2011-04-21,77.3
2011-04-22,77.3
2011-04-23,77.3
2011-04-24,77.3
2011-04-25,77.3
2011-04-26,77.3
2011-04-27,77.3
2011-04-28,77.3
2011-04-29,77.3
2011-04-30,77.3
2011-05-01,90.8
2011-05-02,90.8
2011-05-03,90.8
2011-05-04,90.8
2011-05-05,90.8
2011-05-06,90.8
2011-05-07,90.8
2011-05-08,90.8
2011-05-09,90.8
2011-05-10,90.8
2011-05-11,90.8
2011-05-12,90.8
2011-05-13,90.8
2011-05-14,90.8
2011-05-15,90.8
2011-05-16,90.8
2011-05-17,90.8
2011-05-18,90.8
2011-05-19,90.8
2011-05-20,90.8
2011-05-21,90.8
2011-05-22,90.8
2011-05-23,90.8
2011-05-24,90.8
2011-05-25,90.8
2011-05-26,90.8
2011-05-27,90.8
2011-05-28,90.8
2011-05-29,90.8
2011-05-30,90.8
2011-05-31,90.8
2011-06-01,86.7
2011-06-02,86.7
2011-06-03,86.7
2011-06-04,86.7
2011-06-05,86.7
2011-06-06,86.7
2011-06-07,86.7
2011-06-08,86.7
2011-06-09,86.7
2011-06-10,86.7
2011-06-11,86.7
2011-06-12,86.7
2011-06-13,86.7
2011-06-14,86.7
2011-06-15,86.7
2011-06-16,86.7
2011-06-17,86.7
2011-06-18,86.7
2011-06-19,86.7
2011-06-20,86.7
2011-06-21,86.7
2011-06-22,86.7
2011-06-23,86.7
2011-06-24,86.7
2011-06-25,86.7
2011-06-26,86.7
2011-06-27,86.7
2011-06-28,86.7
2011-06-29,86.7
2011-06-30,86.7
2011-07-01,87.3
2011-07-02,87.3
2011-07-03,87.3
2011-07-04,87.3
2011-07-05,87.3
2011-07-06,87.3
2011-07-07,87.3
2011-07-08,87.3
2011-07-09,87.3
2011-07-10,87.3
2011-07-11,87.3
2011-07-12,87.3
2011-07-13,87.3
2011-07-14,87.3
2011-07-15,87.3
2011-07-16,87.3
2011-07-17,87.3
2011-07-18,87.3
2011-07-19,87.3
2011-07-20,87.3
2011-07-21,87.3
2011-07-22,87.3
2011-07-23,87.3
2011-07-24,87.3
2011-07-25,87.3
2011-07-26,87.3
2011-07-27,87.3
2011-07-28,87.3
2011-07-29,87.3
2011-07-30,87.3
2011-07-31,87.3
2011-08-01,90.2
2011-08-02,90.2
2011-08-03,90.2
2011-08-04,90.2
2011-08-05,90.2
2011-08-06,90.2
2011-08-07,90.2
2011-08-08,90.2
2011-08-09,90.2
2011-08-10,90.2
2011-08-11,90.2
2011-08-12,90.2
2011-08-13,90.2
2011-08-14,90.2
2011-08-15,90.2
2011-08-16,90.2
2011-08-17,90.2
2011-08-18,90.2
2011-08-19,90.2
2011-08-20,90.2
2011-08-21,90.2
2011-08-22,90.2
2011-08-23,90.2
2011-08-24,90.2
2011-08-25,90.2
2011-08-26,90.2
2011-08-27,90.2
2011-08-28,90.2
2011-08-29,90.2
2011-08-30,90.2
2011-08-31,90.2
2011-09-01,86.8
2011-09-02,86.8
2011-09-03,86.8
2011-09-04,86.8
2011-09-05,86.8
2011-09-06,86.8
2011-09-07,86.8
2011-09-08,86.8
2011-09-09,86.8
2011-09-10,86.8
2011-09-11,86.8
2011-09-12,86.8
2011-09-13,86.8
2011-09-14,86.8
2011-09-15,86.8
2011-09-16,86.8
