tm,peak_mw
2010-01-01,56391
2010-01-02,55470
2010-01-03,55581
2010-01-04,66149
2010-01-05,66901
2010-01-06,67855
2010-01-07,68273
2010-01-08,68555
2010-01-09,61277
2010-01-10,57900
2010-01-11,68202
2010-01-12,68758
2010-01-13,68963
2010-01-14,68937
2010-01-15,68539
2010-01-16,61076
2010-01-17,58140
2010-01-18,67347
2010-01-19,66095
2010-01-20,63608
2010-01-21,64783
2010-01-22,66357
2010-01-23,59704
2010-01-24,56835
2010-01-25,65677
2010-01-26,66754
2010-01-27,65585
2010-01-28,63737
2010-01-29,65033
2010-01-30,58093
2010-01-31,54660
2010-02-01,64747
2010-02-02,65362
2010-02-03,67158
2010-02-04,66878
2010-02-05,66347
2010-02-06,60583
2010-02-07,56968
2010-02-08,65554
2010-02-09,64692
2010-02-10,63648
2010-02-11,64432
2010-02-12,62160
2010-02-13,53947
2010-02-14,48762
2010-02-15,51038
2010-02-16,56551
2010-02-17,63991
2010-02-18,64717
2010-02-19,64530
2010-02-20,57670
2010-02-21,53941
2010-02-22,62072
2010-02-23,60745
2010-02-24,58871
2010-02-25,58443
2010-02-26,57875
2010-02-27,53514
2010-02-28,50703
2010-03-01,54174
2010-03-02,61058
2010-03-03,60567
2010-03-04,60678
2010-03-05,59940
2010-03-06,54973
2010-03-07,52649
2010-03-08,60869
2010-03-09,61719
2010-03-10,63520
2010-03-11,61714
2010-03-12,60238
2010-03-13,54685
2010-03-14,51175
2010-03-15,59614
2010-03-16,60522
2010-03-17,60693
2010-03-18,61895
2010-03-19,60987
2010-03-20,54215
2010-03-21,52065
2010-03-22,61342
2010-03-23,61085
2010-03-24,58629
2010-03-25,60204
2010-03-26,60478
2010-03-27,54334
2010-03-28,51532
2010-03-29,58571
2010-03-30,58949
2010-03-31,59738
2010-04-01,58130
2010-04-02,57662
2010-04-03,53429
2010-04-04,50063
2010-04-05,55671
2010-04-06,56978
2010-04-07,56624
2010-04-08,56916
2010-04-09,55600
2010-04-10,51203
2010-04-11,48636
2010-04-12,56017
2010-04-13,58181
2010-04-14,58304
2010-04-15,58131
2010-04-16,56590
2010-04-17,52212
2010-04-18,49721
2010-04-19,55814
2010-04-20,55078
2010-04-21,55520
2010-04-22,56553
2010-04-23,55370
2010-04-24,51033
2010-04-25,48521
2010-04-26,56083
2010-04-27,56387
2010-04-28,58766
2010-04-29,56313
2010-04-30,55018
2010-05-01,49267
2010-05-02,47824
2010-05-03,54328
2010-05-04,54128
2010-05-05,50631
2010-05-06,54703
2010-05-07,53512
2010-05-08,49220
2010-05-09,46677
2010-05-10,53919
2010-05-11,54209
2010-05-12,53564
2010-05-13,53707
2010-05-14,53540
2010-05-15,49725
2010-05-16,46502
2010-05-17,54482
2010-05-18,55244
2010-05-19,54308
2010-05-20,55393
2010-05-21,51089
2010-05-22,48959
2010-05-23,46849
2010-05-24,54076
2010-05-25,54352
2010-05-26,54148
2010-05-27,54253
2010-05-28,54403
2010-05-29,50137
2010-05-30,46909
2010-05-31,53838
2010-06-01,54197
2010-06-02,51954
2010-06-03,56224
2010-06-04,57021
2010-06-05,52282
2010-06-06,48278
2010-06-07,59364
2010-06-08,59341
2010-06-09,60564
2010-06-10,61464
2010-06-11,60497
2010-06-12,52380
2010-06-13,49237
2010-06-14,59693
2010-06-15,61656
2010-06-16,60091
2010-06-17,62269
2010-06-18,62479
2010-06-19,54962
2010-06-20,49737
2010-06-21,61058
2010-06-22,60265
2010-06-23,60629
2010-06-24,62130
2010-06-25,62828
2010-06-26,54224
2010-06-27,49412
2010-06-28,61810
2010-06-29,62699
2010-06-30,62044
2010-07-01,63274
2010-07-02,63277
2010-07-03,56545
2010-07-04,52044
2010-07-05,64587
2010-07-06,65025
2010-07-07,64839
2010-07-08,63493
2010-07-09,63904
2010-07-10,56927
2010-07-11,50322
2010-07-12,62649
2010-07-13,63409
2010-07-14,63985
2010-07-15,64795
2010-07-16,63439
2010-07-17,56700
2010-07-18,53048
2010-07-19,65683
2010-07-20,67008
2010-07-21,66850
2010-07-22,67619
2010-07-23,63799
2010-07-24,58717
2010-07-25,53154
2010-07-26,65445
2010-07-27,67323
2010-07-28,64904
2010-07-29,66192
2010-07-30,64812
2010-07-31,54739
2010-08-01,53946
2010-08-02,58915
2010-08-03,58086
2010-08-04,62663
2010-08-05,66609
2010-08-06,65633
2010-08-07,59045
2010-08-08,54975
2010-08-09,67287
2010-08-10,65800
2010-08-11,65206
2010-08-12,63461
2010-08-13,65504
2010-08-14,58726
2010-08-15,54015
2010-08-16,63646
2010-08-17,64676
2010-08-18,67452
2010-08-19,68493
2010-08-20,69886
2010-08-21,64327
2010-08-22,58594
2010-08-23,69404
2010-08-24,66982
2010-08-25,65140
2010-08-26,66283
2010-08-27,67781
2010-08-28,59400
2010-08-29,54204
2010-08-30,67230
2010-08-31,66242
2010-09-01,68842
2010-09-02,63901
2010-09-03,67802
2010-09-04,62239
2010-09-05,54902
2010-09-06,66362
2010-09-07,63906
2010-09-08,59598
2010-09-09,60665
2010-09-10,64312
2010-09-11,58590
2010-09-12,52039
2010-09-13,62758
2010-09-14,63188
2010-09-15,62527
2010-09-16,62644
2010-09-17,63411
2010-09-18,58479
2010-09-19,52757
2010-09-20,55804
2010-09-21,45151
2010-09-22,38764
2010-09-23,41282
2010-09-24,47132
2010-09-25,48664
2010-09-26,48466
2010-09-27,56095
2010-09-28,56040
2010-09-29,55918
2010-09-30,56247
2010-10-01,55938
2010-10-02,51865
2010-10-03,48264
2010-10-04,56515
2010-10-05,56438
2010-10-06,56475
2010-10-07,57373
2010-10-08,57084
2010-10-09,50452
2010-10-10,48332
2010-10-11,57773
2010-10-12,57712
2010-10-13,57364
2010-10-14,57818
2010-10-15,57057
2010-10-16,51213
2010-10-17,48850
2010-10-18,57601
2010-10-19,58124
2010-10-20,57494
2010-10-21,58268
2010-10-22,57184
2010-10-23,50843
2010-10-24,49157
2010-10-25,58170
2010-10-26,60330
2010-10-27,59328
2010-10-28,60003
2010-10-29,58414
2010-10-30,51919
2010-10-31,50057
2010-11-01,58325
2010-11-02,60444
2010-11-03,59648
2010-11-04,60006
2010-11-05,58874
2010-11-06,53375
2010-11-07,50906
2010-11-08,61506
2010-11-09,62623
2010-11-10,60837
2010-11-11,60749
2010-11-12,60282
2010-11-13,54292
2010-11-14,52299
2010-11-15,63009
2010-11-16,63204
2010-11-17,61785
2010-11-18,62482
2010-11-19,62270
2010-11-20,56191
2010-11-21,52209
2010-11-22,62052
2010-11-23,62576
2010-11-24,61352
2010-11-25,63802
2010-11-26,64100
2010-11-27,58710
2010-11-28,55891
2010-11-29,64984
2010-11-30,63154
2010-12-01,62842
2010-12-02,62690
2010-12-03,65414
2010-12-04,59111
2010-12-05,54345
2010-12-06,65324
2010-12-07,66728
2010-12-08,67295
2010-12-09,67817
2010-12-10,67505
2010-12-11,60423
2010-12-12,57531
2010-12-13,68739
2010-12-14,69614
2010-12-15,71308
2010-12-16,71258
2010-12-17,71060
2010-12-18,62928
2010-12-19,57830
2010-12-20,66377
2010-12-21,67445
2010-12-22,66055
2010-12-23,67320
2010-12-24,69950
2010-12-25,63874
2010-12-26,60856
2010-12-27,70107
2010-12-28,70018
2010-12-29,69708
2010-12-30,69000
2010-12-31,67331
2011-01-01,59796
2011-01-02,59173
2011-01-03,70868
2011-01-04,70869
2011-01-05,70073
2011-01-06,71285
2011-01-07,71423
2011-01-08,65100
2011-01-09,61861
2011-01-10,71840
2011-01-11,71687
2011-01-12,71785
2011-01-13,71783
2011-01-14,71569
2011-01-15,66923
2011-01-16,64446
2011-01-17,73137
2011-01-18,72433
2011-01-19,72223
2011-01-20,71918
2011-01-21,71910
2011-01-22,65505
2011-01-23,62263
2011-01-24,71913
2011-01-25,72344
2011-01-26,72292
2011-01-27,73014
2011-01-28,72274
2011-01-29,66813
2011-01-30,64028
2011-01-31,71555
2011-02-01,67396
2011-02-02,58340
2011-02-03,50796
2011-02-04,52817
2011-02-05,55570
2011-02-06,57142
2011-02-07,68498
2011-02-08,68791
2011-02-09,67876
2011-02-10,70087
2011-02-11,69597
2011-02-12,63786
2011-02-13,60087
2011-02-14,71002
2011-02-15,69913
2011-02-16,69763
2011-02-17,68750
2011-02-18,67796
2011-02-19,61327
2011-02-20,57482
2011-02-21,65622
2011-02-22,64954
2011-02-23,64759
2011-02-24,63250
2011-02-25,64032
2011-02-26,58402
2011-02-27,55444
2011-02-28,65290
2011-03-01,60454
2011-03-02,66746
2011-03-03,67310
2011-03-04,67320
2011-03-05,61100
2011-03-06,55736
2011-03-07,65700
2011-03-08,65497
2011-03-09,65762
2011-03-10,66221
2011-03-11,64038
2011-03-12,57908
2011-03-13,53341
2011-03-14,62730
2011-03-15,64101
2011-03-16,65532
2011-03-17,65740
2011-03-18,64124
2011-03-19,57109
2011-03-20,53881
2011-03-21,61855
2011-03-22,63654
2011-03-23,64073
2011-03-24,63658
2011-03-25,64447
2011-03-26,57412
2011-03-27,53874
2011-03-28,62884
2011-03-29,63256
2011-03-30,61571
2011-03-31,60600
2011-04-01,59252
2011-04-02,55482
2011-04-03,52487
2011-04-04,60148
2011-04-05,59513
2011-04-06,59749
2011-04-07,61400
2011-04-08,58990
2011-04-09,54158
2011-04-10,51540
2011-04-11,59317
2011-04-12,58278
2011-04-13,58167
2011-04-14,58387
2011-04-15,58213
2011-04-16,53422
2011-04-17,51060
2011-04-18,60491
2011-04-19,59288
2011-04-20,57945
2011-04-21,58567
2011-04-22,60413
2011-04-23,54022
2011-04-24,51836
2011-04-25,58468
2011-04-26,60417
2011-04-27,58652
2011-04-28,58727
2011-04-29,57543
2011-04-30,53761
2011-05-01,49708
2011-05-02,56616
2011-05-03,57474
2011-05-04,57261
2011-05-05,53773
2011-05-06,56584
2011-05-07,53135
2011-05-08,48844
2011-05-09,57426
