prd,c1,c1_name,value
201001,0,전산업,79.3
201002,0,전산업,77.6
201003,0,전산업,87.4
201004,0,전산업,84.1
201005,0,전산업,84.9
201006,0,전산업,87.5
201007,0,전산업,84.7
201008,0,전산업,81.6
201009,0,전산업,83.7
201010,0,전산업,85.4
201011,0,전산업,86.1
201012,0,전산업,95.0
201101,0,전산업,85.9
201102,0,전산업,77.3
201103,0,전산업,90.8
201104,0,전산업,86.7
201105,0,전산업,87.3
201106,0,전산업,90.2
201107,0,전산업,86.8
201108,0,전산업,84.8
201109,0,전산업,87.8
201110,0,전산업,88.4
201111,0,전산업,88.4
201112,0,전산업,96.6
201201,0,전산업,84.7
201202,0,전산업,84.6
201203,0,전산업,91.5
201204,0,전산업,86.6
201205,0,전산업,89.4
201206,0,전산업,90.3
201207,0,전산업,88.2
201208,0,전산업,84.7
201209,0,전산업,89.0
201210,0,전산업,88.0
201211,0,전산업,90.2
201212,0,전산업,96.6
201301,0,전산업,88.0
201302,0,전산업,83.5
201303,0,전산업,91.1
201304,0,전산업,90.1
201305,0,전산업,90.9
201306,0,전산업,91.0
201307,0,전산업,89.7
201308,0,전산업,87.4
201309,0,전산업,88.1
201310,0,전산업,91.9
201311,0,전산업,91.6
201312,0,전산업,98.7
201401,0,전산업,89.0
201402,0,전산업,85.0
201403,0,전산업,93.7
201404,0,전산업,91.6
201405,0,전산업,90.7
201406,0,전산업,92.7
201407,0,전산업,92.5
201408,0,전산업,88.0
201409,0,전산업,89.6
201410,0,전산업,92.2
201411,0,전산업,91.2
201412,0,전산업,101.0
201501,0,전산업,89.2
201502,0,전산업,84.8
201503,0,전산업,94.7
201504,0,전산업,92.9
201505,0,전산업,91.3
201506,0,전산업,95.1
201507,0,전산업,92.1
201508,0,전산업,90.0
201509,0,전산업,93.6
201510,0,전산업,95.5
201511,0,전산업,94.7
201512,0,전산업,104.1
201601,0,전산업,90.5
201602,0,전산업,87.1
201603,0,전산업,97.8
201604,0,전산업,94.0
201605,0,전산업,95.6
201606,0,전산업,99.5
201607,0,전산업,94.9
201608,0,전산업,94.0
201609,0,전산업,94.8
201610,0,전산업,97.1
201611,0,전산업,99.0
201612,0,전산업,108.0
201701,0,전산업,92.7
201702,0,전산업,91.8
201703,0,전산업,102.0
201704,0,전산업,97.1
201705,0,전산업,98.1
201706,0,전산업,101.3
201707,0,전산업,97.3
201708,0,전산업,96.3
201709,0,전산업,102.2
201710,0,전산업,94.9
201711,0,전산업,101.0
201712,0,전산업,107.7
201801,0,전산업,97.2
201802,0,전산업,91.3
201803,0,전산업,101.9
201804,0,전산업,99.7
201805,0,전산업,100.2
201806,0,전산업,102.6
201807,0,전산업,100.0
201808,0,전산업,98.6
201809,0,전산업,97.8
201810,0,전산업,102.2
201811,0,전산업,101.3
201812,0,전산업,108.2
201901,0,전산업,98.3
201902,0,전산업,89.6
201903,0,전산업,101.4
201904,0,전산업,100.8
201905,0,전산업,102.1
201906,0,전산업,102.0
201907,0,전산업,101.5
201908,0,전산업,99.2
201909,0,전산업,99.0
201910,0,전산업,102.9
201911,0,전산업,103.4
201912,0,전산업,112.9
202001,0,전산업,98.2
202002,0,전산업,94.3
202003,0,전산업,102.0
202004,0,전산업,95.3
202005,0,전산업,95.8
202006,0,전산업,102.2
202007,0,전산업,99.1
202008,0,전산업,95.3
202009,0,전산업,101.8
202010,0,전산업,99.5
202011,0,전산업,102.7
202012,0,전산업,113.8
202101,0,전산업,98.1
202102,0,전산업,94.5
202103,0,전산업,108.3
202104,0,전산업,103.7
202105,0,전산업,103.2
202106,0,전산업,109.7
202107,0,전산업,104.2
202108,0,전산업,101.5
202109,0,전산업,104.6
202110,0,전산업,105.3
202111,0,전산업,109.2
202112,0,전산업,123.5
202201,0,전산업,104.8
202202,0,전산업,99.3
202203,0,전산업,113.1
202204,0,전산업,109.9
202205,0,전산업,111.4
202206,0,전산업,114.6
202207,0,전산업,109.6
202208,0,전산업,107.8
202209,0,전산업,109.2
202210,0,전산업,109.4
202211,0,전산업,111.9
202212,0,전산업,125.8
202301,0,전산업,103.3
202302,0,전산업,103.2
202303,0,전산업,115.6
202304,0,전산업,108.7
202305,0,전산업,111.1
202306,0,전산업,116.0
202307,0,전산업,109.1
202308,0,전산업,109.8
202309,0,전산업,112.7
202310,0,전산업,111.3
202311,0,전산업,114.9
202312,0,전산업,126.8
202401,0,전산업,110.5
202402,0,전산업,105.4
202403,0,전산업,115.8
202404,0,전산업,113.1
202405,0,전산업,113.7
202406,0,전산업,116.1
202407,0,전산업,111.3
202408,0,전산업,111.0
202409,0,전산업,110.9
202410,0,전산업,114.2
202411,0,전산업,114.2
202412,0,전산업,128.2
202501,0,전산업,107.2
202502,0,전산업,107.4
202503,0,전산업,118.1
202504,0,전산업,114.4
202505,0,전산업,113.5
202506,0,전산업,118.3
202507,0,전산업,114.4
202508,0,전산업,111.2
202509,0,전산업,119.8
202510,0,전산업,110.2
202511,0,전산업,115.0
202512,0,전산업,130.9
201001,1B,광공업,81.8
201002,1B,광공업,74.9
201003,1B,광공업,88.4
201004,1B,광공업,88.0
201005,1B,광공업,87.0
201006,1B,광공업,88.9
201007,1B,광공업,88.9
201008,1B,광공업,83.9
201009,1B,광공업,84.8
201010,1B,광공업,91.5
201011,1B,광공업,91.6
201012,1B,광공업,93.6
201101,1B,광공업,91.6
201102,1B,광공업,80.0
201103,1B,광공업,96.2
201104,1B,광공업,92.9
201105,1B,광공업,93.2
201106,1B,광공업,94.2
201107,1B,광공업,92.2
201108,1B,광공업,88.3
201109,1B,광공업,90.8
201110,1B,광공업,95.4
201111,1B,광공업,95.0
201112,1B,광공업,95.8
201201,1B,광공업,88.7
201202,1B,광공업,92.2
201203,1B,광공업,97.0
201204,1B,광공업,92.9
201205,1B,광공업,96.2
201206,1B,광공업,94.9
201207,1B,광공업,92.2
201208,1B,광공업,87.2
201209,1B,광공업,91.0
201210,1B,광공업,94.6
201211,1B,광공업,97.9
201212,1B,광공업,95.9
201301,1B,광공업,96.7
201302,1B,광공업,84.6
201303,1B,광공업,95.3
201304,1B,광공업,95.2
201305,1B,광공업,96.2
201306,1B,광공업,93.7
201307,1B,광공업,93.9
201308,1B,광공업,90.3
201309,1B,광공업,87.9
201310,1B,광공업,98.5
201311,1B,광공업,97.6
201312,1B,광공업,98.6
201401,1B,광공업,92.6
201402,1B,광공업,88.0
201403,1B,광공업,98.2
201404,1B,광공업,97.6
201405,1B,광공업,94.3
201406,1B,광공업,94.4
201407,1B,광공업,97.8
201408,1B,광공업,88.0
201409,1B,광공업,89.7
201410,1B,광공업,95.7
201411,1B,광공업,94.5
201412,1B,광공업,100.0
201501,1B,광공업,93.8
201502,1B,광공업,83.5
201503,1B,광공업,97.1
201504,1B,광공업,95.3
201505,1B,광공업,91.4
201506,1B,광공업,95.4
201507,1B,광공업,94.4
201508,1B,광공업,89.0
201509,1B,광공업,93.9
201510,1B,광공업,98.8
201511,1B,광공업,96.5
201512,1B,광공업,98.8
201601,1B,광공업,93.0
201602,1B,광공업,85.2
201603,1B,광공업,99.3
201604,1B,광공업,93.7
201605,1B,광공업,96.4
201606,1B,광공업,98.4
201607,1B,광공업,96.2
201608,1B,광공업,92.1
201609,1B,광공업,92.8
201610,1B,광공업,98.1
201611,1B,광공업,102.4
201612,1B,광공업,104.7
201701,1B,광공업,94.7
201702,1B,광공업,92.9
201703,1B,광공업,104.3
201704,1B,광공업,97.8
201705,1B,광공업,98.5
201706,1B,광공업,99.2
201707,1B,광공업,98.6
201708,1B,광공업,95.2
201709,1B,광공업,102.8
201710,1B,광공업,93.8
201711,1B,광공업,102.8
201712,1B,광공업,100.9
201801,1B,광공업,99.8
201802,1B,광공업,87.8
201803,1B,광공업,101.9
201804,1B,광공업,100.0
201805,1B,광공업,100.9
201806,1B,광공업,101.2
201807,1B,광공업,101.9
201808,1B,광공업,99.2
201809,1B,광공업,96.1
201810,1B,광공업,105.7
201811,1B,광공업,103.1
201812,1B,광공업,101.6
201901,1B,광공업,99.3
201902,1B,광공업,84.3
201903,1B,광공업,99.8
201904,1B,광공업,100.8
201905,1B,광공업,102.1
201906,1B,광공업,99.3
201907,1B,광공업,103.9
201908,1B,광공업,97.1
201909,1B,광공업,98.2
201910,1B,광공업,105.4
201911,1B,광공업,104.8
201912,1B,광공업,108.2
202001,1B,광공업,94.9
202002,1B,광공업,92.5
202003,1B,광공업,105.8
202004,1B,광공업,95.4
202005,1B,광공업,91.5
202006,1B,광공업,98.8
202007,1B,광공업,100.6
202008,1B,광공업,94.3
202009,1B,광공업,106.2
202010,1B,광공업,102.4
202011,1B,광공업,105.8
202012,1B,광공업,111.9
202101,1B,광공업,104.5
202102,1B,광공업,96.0
202103,1B,광공업,112.2
202104,1B,광공업,106.7
202105,1B,광공업,104.5
202106,1B,광공업,110.6
202107,1B,광공업,110.5
202108,1B,광공업,105.1
202109,1B,광공업,106.3
202110,1B,광공업,109.1
202111,1B,광공업,113.7
202112,1B,광공업,122.5
202201,1B,광공업,110.7
202202,1B,광공업,102.9
202203,1B,광공업,118.2
202204,1B,광공업,112.4
202205,1B,광공업,113.8
202206,1B,광공업,113.7
202207,1B,광공업,111.1
202208,1B,광공업,104.5
202209,1B,광공업,104.7
202210,1B,광공업,105.8
202211,1B,광공업,107.6
202212,1B,광공업,109.6
202301,1B,광공업,96.9
202302,1B,광공업,96.3
202303,1B,광공업,111.4
202304,1B,광공업,103.1
202305,1B,광공업,107.6
202306,1B,광공업,108.8
202307,1B,광공업,103.6
202308,1B,광공업,105.8
202309,1B,광공업,109.4
202310,1B,광공업,108.1
202311,1B,광공업,114.3
202312,1B,광공업,116.4
202401,1B,광공업,108.9
202402,1B,광공업,99.5
202403,1B,광공업,111.8
202404,1B,광공업,110.6
202405,1B,광공업,112.7
202406,1B,광공업,112.1
202407,1B,광공업,108.7
202408,1B,광공업,110.2
202409,1B,광공업,107.8
202410,1B,광공업,115.3
202411,1B,광공업,114.2
