년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),최소전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시,최소전력기준일시
2010,01,01,73470,72003,56391,-,15612,27.7,2010/01/01(01:00),-
2010,01,02,73470,71953,55470,-,16483,29.7,2010/01/02(24:00),-
2010,01,03,73470,71958,55581,-,16377,29.5,2010/01/03(24:00),-
2010,01,04,73470,72688,66149,-,6539,9.9,2010/01/04(12:00),-
2010,01,05,73470,72770,66901,-,5869,8.8,2010/01/05(18:00),-
2010,01,06,73470,72580,67855,-,4725,7,2010/01/06(12:00),-
2010,01,07,73470,72963,68273,-,4690,6.9,2010/01/07(11:00),-
2010,01,08,73470,72963,68555,-,4408,6.4,2010/01/08(11:00),-
2010,01,09,73470,72328,61277,-,11051,18,2010/01/09(12:00),-
2010,01,10,73470,73604,57900,-,15704,27.1,2010/01/10(01:00),-
2010,01,11,73470,73430,68202,-,5228,7.7,2010/01/11(12:00),-
2010,01,12,73470,72957,68758,-,4199,6.1,2010/01/12(11:00),-
2010,01,13,73470,73722,68963,-,4759,6.9,2010/01/13(12:00),-
2010,01,14,73470,74014,68937,-,5077,7.4,2010/01/14(11:00),-
2010,01,15,73470,73454,68539,-,4915,7.2,2010/01/15(11:00),-
2010,01,16,73470,73621,61076,-,12545,20.5,2010/01/16(01:00),-
2010,01,17,73470,72987,58140,-,14847,25.5,2010/01/17(01:00),-
2010,01,18,73470,73018,67347,-,5671,8.4,2010/01/18(11:00),-
2010,01,19,73470,73627,66095,-,7532,11.4,2010/01/19(11:00),-
2010,01,20,73470,73687,63608,-,10079,15.8,2010/01/20(11:00),-
2010,01,21,73470,73750,64783,-,8967,13.8,2010/01/21(19:00),-
2010,01,22,73470,74651,66357,-,8294,12.5,2010/01/22(11:00),-
2010,01,23,73470,74292,59704,-,14588,24.4,2010/01/23(24:00),-
2010,01,24,73470,74651,56835,-,17816,31.3,2010/01/24(01:00),-
2010,01,25,73470,74410,65677,-,8733,13.3,2010/01/25(19:00),-
2010,01,26,73470,74520,66754,-,7766,11.6,2010/01/26(11:00),-
2010,01,27,73470,73990,65585,-,8405,12.8,2010/01/27(11:00),-
2010,01,28,73470,73730,63737,-,9993,15.7,2010/01/28(11:00),-
2010,01,29,73470,73980,65033,-,8947,13.8,2010/01/29(11:00),-
2010,01,30,73470,73965,58093,-,15872,27.3,2010/01/30(11:00),-
2010,01,31,73470,73570,54660,-,18910,34.6,2010/01/31(24:00),-
2010,02,01,73470,72520,64747,-,7773,12,2010/02/01(11:00),-
2010,02,02,73470,73290,65362,-,7928,12.1,2010/02/02(11:00),-
2010,02,03,73470,73013,67158,-,5855,8.7,2010/02/03(11:00),-
2010,02,04,73470,73400,66878,-,6522,9.8,2010/02/04(11:00),-
2010,02,05,73470,73400,66347,-,7053,10.6,2010/02/05(11:00),-
2010,02,06,73470,73400,60583,-,12817,21.2,2010/02/06(11:00),-
2010,02,07,73470,73160,56968,-,16192,28.4,2010/02/07(07:00),-
2010,02,08,73470,73594,65554,-,8040,12.3,2010/02/08(11:00),-
2010,02,09,73470,73196,64692,-,8504,13.1,2010/02/09(11:00),-
2010,02,10,73470,73117,63648,-,9469,14.9,2010/02/10(11:00),-
2010,02,11,73470,73126,64432,-,8694,13.5,2010/02/11(12:00),-
2010,02,12,73470,73173,62160,-,11013,17.7,2010/02/12(12:00),-
2010,02,13,73470,72725,53947,-,18778,34.8,2010/02/13(01:00),-
2010,02,14,73470,72433,48762,-,23671,48.5,2010/02/14(24:00),-
2010,02,15,73470,71807,51038,-,20769,40.7,2010/02/15(15:00),-
2010,02,16,73470,71097,56551,-,14546,25.7,2010/02/16(24:00),-
2010,02,17,73470,70591,63991,-,6600,10.3,2010/02/17(11:00),-
2010,02,18,73470,71077,64717,-,6360,9.8,2010/02/18(11:00),-
2010,02,19,73470,70957,64530,-,6427,10,2010/02/19(11:00),-
2010,02,20,73470,69646,57670,-,11976,20.8,2010/02/20(11:00),-
2010,02,21,73470,69099,53941,-,15158,28.1,2010/02/21(01:00),-
2010,02,22,73470,70184,62072,-,8112,13.1,2010/02/22(11:00),-
2010,02,23,73470,70136,60745,-,9391,15.5,2010/02/23(11:00),-
2010,02,24,73470,69368,58871,-,10497,17.8,2010/02/24(11:00),-
2010,02,25,73470,69285,58443,-,10842,18.6,2010/02/25(12:00),-
2010,02,26,73470,69847,57875,-,11972,20.7,2010/02/26(12:00),-
2010,02,27,73470,68945,53514,-,15431,28.8,2010/02/27(24:00),-
2010,02,28,73470,68404,50703,-,17701,34.9,2010/02/28(24:00),-
2010,03,01,73470,68719,54174,-,14545,26.8,2010/03/01(24:00),-
2010,03,02,73470,69389,61058,-,8331,13.6,2010/03/02(11:00),-
2010,03,03,73470,69378,60567,-,8811,14.5,2010/03/03(11:00),-
2010,03,04,73470,69390,60678,-,8712,14.4,2010/03/04(12:00),-
2010,03,05,73470,69019,59940,-,9079,15.1,2010/03/05(11:00),-
2010,03,06,73470,67090,54973,-,12117,22,2010/03/06(24:00),-
2010,03,07,73470,67141,52649,-,14492,27.5,2010/03/07(07:00),-
2010,03,08,734700,68264,60869,-,7395,12.1,2010/03/08(11:00),-
2010,03,09,73470,68115,61719,-,6396,10.4,2010/03/09(11:00),-
2010,03,10,73470,68648,63520,-,5128,8.1,2010/03/10(11:00),-
2010,03,11,73470,68510,61714,-,6796,11,2010/03/11(11:00),-
2010,03,12,73470,68437,60238,-,8199,13.6,2010/03/12(11:00),-
2010,03,13,73470,66136,54685,-,11451,20.9,2010/03/13(11:00),-
2010,03,14,73470,65855,51175,-,14680,28.7,2010/03/14(01:00),-
2010,03,15,73470,66977,59614,-,7363,12.4,2010/03/15(11:00),-
2010,03,16,73470,67329,60522,-,6807,11.2,2010/03/16(11:00),-
2010,03,17,73470,67364,60693,-,6671,11,2010/03/17(11:00),-
2010,03,18,73470,67441,61895,-,5546,9,2010/03/18(11:00),-
2010,03,19,73470,67228,60987,-,6241,10.2,2010/03/19(11:00),-
2010,03,20,73470,67548,54215,-,13333,24.6,2010/03/20(24:00),-
2010,03,21,73470,68240,52065,-,16175,31.1,2010/03/21(23:00),-
2010,03,22,73470,67457,61342,-,6115,10,2010/03/22(17:00),-
2010,03,23,73470,67187,61085,-,6102,10,2010/03/23(11:00),-
2010,03,24,73470,66934,58629,-,8305,14.2,2010/03/24(11:00),-
